City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
544,ranau,MY,82.4,5.95,116.66,Ranau Backpackers Hostel
545,palmer,US,61.0,42.16,-72.33,Wedgewood Motel
547,canchungo,GW,82.4,12.07,-16.03,Hotel Pereira
548,lakatoro,VU,78.8,-16.1,167.42,Lakatoro Palm Lodge
549,sena madureira,BR,70.3,-9.07,-68.66,Hotel Suzani
551,mangit,UZ,91.4,40.6,70.96,Dangara Hotel
552,kieta,PG,80.76,-6.22,155.63,
553,jaru,BR,70.39,-10.44,-62.47,Hotel Paraná
555,lidkoping,SE,71.6,58.51,13.16,Hotell Läckö - GRAND HOTEL
556,auki,SB,82.26,-8.77,160.7,Auki Motel
559,dongsheng,CN,78.13,39.82,109.98,Crowne Plaza Ordos
560,minsk,BY,77.0,53.9,27.57,Minsk Hotel
561,ust-ilimsk,RU,82.9,58.0,102.66,Alenat Tsentr
562,namatanai,PG,82.6,-3.67,152.43,Namatanai Hotel
563,eyl,SO,91.81,7.98,49.82,Amiin Hotel
565,dawlatabad,AF,100.98,36.41,64.91,WASIM ASGAR KHAN
566,kautokeino,NO,67.06,69.01,23.04,Ailo Matki & Tourist -Kautokeino bilutleie
567,puerto escondido,MX,79.81,15.85,-97.07,Aldea del Bazar Hotel and Spa
