City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
70,itarema,48,BR,scattered clouds,88,-2.92,-39.92,73.98,0.0,0.0,11.43
71,hami,47,CN,scattered clouds,11,42.8,93.45,94.21,0.0,0.0,3.74
72,khani,75,GE,broken clouds,65,41.96,42.96,77.0,0.0,0.0,4.7
73,gimbi,96,ET,overcast clouds,84,9.17,35.83,67.08,0.0,0.0,2.48
74,prince rupert,90,CA,overcast clouds,87,54.32,-130.32,51.8,0.0,0.0,4.7
75,dangriga,99,BZ,overcast clouds,82,16.97,-88.23,82.99,0.0,0.0,11.99
76,deputatskiy,56,RU,broken clouds,27,69.3,139.9,78.64,0.0,0.0,7.96
77,kruisfontein,0,ZA,clear sky,27,-34.0,24.73,65.52,0.0,0.0,17.31
78,lavrentiya,100,RU,overcast clouds,82,65.58,-171.0,36.72,0.0,0.0,3.24
79,tuatapere,1,NZ,clear sky,87,-46.13,167.68,42.19,0.0,0.0,4.74
80,saldanha,99,ZA,overcast clouds,93,-33.01,17.94,55.4,0.0,0.0,6.93
81,coihaique,96,CL,light snow,92,-45.58,-72.07,30.2,0.0,0.0,2.24
82,victor harbor,57,AU,light rain,76,-35.57,138.62,55.99,0.11,0.11,6.15
83,castro,94,BR,overcast clouds,86,-24.79,-50.01,58.44,0.0,0.0,6.93
84,bluff,0,NZ,clear sky,79,-46.6,168.33,48.43,0.0,0.0,19.62
85,upernavik,74,GL,broken clouds,90,72.79,-56.15,35.13,0.0,0.0,1.07
86,tandil,1,AR,clear sky,90,-37.32,-59.13,45.0,0.0,0.0,5.99
87,niquero,4,CU,clear sky,89,20.04,-77.58,77.54,0.0,0.0,7.56
88,sitka,90,US,overcast clouds,76,57.05,-135.33,51.8,0.0,0.0,6.93
89,baykit,91,RU,moderate rain,60,61.67,96.37,71.35,1.28,1.28,1.61
90,ponta do sol,40,PT,scattered clouds,64,32.67,-17.1,69.8,0.0,0.0,6.93
91,thaton,100,MM,light rain,71,16.92,97.37,86.88,0.14,0.14,9.64
92,saskylakh,26,RU,scattered clouds,19,71.92,114.08,88.65,0.0,0.0,7.9
93,avarua,96,CK,overcast clouds,73,-21.21,-159.78,73.4,0.0,0.0,4.7
94,antofagasta,90,CL,overcast clouds,87,-23.65,-70.4,57.2,0.0,0.0,8.05
95,vuktyl,100,RU,light rain,88,63.86,57.31,44.64,0.21,0.21,9.26
96,dagana,20,MR,few clouds,54,16.52,-15.51,84.2,0.0,0.0,4.7
97,hvide sande,0,DK,clear sky,83,56.0,8.13,71.6,0.0,0.0,10.29
98,tura,100,IN,moderate rain,88,25.52,90.22,81.97,2.32,2.32,4.83
99,sao filipe,18,CV,few clouds,86,14.9,-24.5,74.77,0.0,0.0,4.74
100,barrow,90,US,overcast clouds,86,71.29,-156.79,33.8,0.0,0.0,13.87
101,hasaki,75,JP,broken clouds,94,35.73,140.83,72.0,0.0,0.0,5.82
102,carmo do paranaiba,0,BR,clear sky,100,-19.0,-46.32,54.0,0.0,0.0,2.46
103,elat,0,IL,clear sky,29,29.56,34.95,86.27,0.0,0.0,13.85
104,kaitangata,62,NZ,broken clouds,85,-46.28,169.85,46.99,0.0,0.0,23.0
105,kamenka,0,RU,clear sky,50,51.32,42.77,69.01,0.0,0.0,15.01
106,rio gallegos,40,AR,scattered clouds,91,-51.62,-69.22,32.0,0.0,0.0,9.17
107,new gloucester,1,US,light rain,100,43.96,-70.28,60.01,0.25,0.25,2.3
108,nanortalik,100,GL,light rain,91,60.14,-45.24,40.75,0.49,0.49,6.98
109,hilo,90,US,moderate rain,88,19.73,-155.09,75.2,3.81,3.81,4.7
110,nyurba,61,RU,broken clouds,44,63.28,118.33,75.42,0.0,0.0,3.96
111,kavaratti,90,IN,overcast clouds,78,10.57,72.64,82.4,0.0,0.0,6.93
112,abalak,52,RU,light rain,76,58.13,68.59,58.14,0.48,0.48,6.78
113,vestmannaeyjar,75,IS,broken clouds,93,63.44,-20.27,48.2,0.0,0.0,2.24
114,kodiak,90,US,overcast clouds,81,57.79,-152.41,51.8,0.0,0.0,10.29
115,la ronge,90,CA,overcast clouds,100,55.1,-105.28,59.0,0.0,0.0,4.16
116,kodinsk,17,RU,few clouds,29,58.69,99.18,86.74,0.0,0.0,3.91
117,bonthe,84,SL,broken clouds,83,7.53,-12.51,79.02,0.0,0.0,5.95
118,ahipara,5,NZ,clear sky,90,-35.17,173.17,56.32,0.0,0.0,6.29
119,tanete,68,ID,broken clouds,74,-3.94,119.78,82.54,0.0,0.0,8.84
120,riyadh,0,SA,clear sky,9,24.69,46.72,96.8,0.0,0.0,20.8
121,jalu,0,LY,clear sky,36,29.03,21.55,85.01,0.0,0.0,6.4
122,qasigiannguit,97,GL,overcast clouds,80,68.82,-51.19,41.0,0.0,0.0,2.24
123,mugla,0,TR,clear sky,48,37.23,28.36,86.0,0.0,0.0,6.93
124,chiang rai,40,TH,scattered clouds,66,19.91,99.83,89.6,0.0,0.0,5.82
125,girona,25,ES,scattered clouds,83,41.98,2.82,75.0,0.0,0.0,3.36
126,tomatlan,100,MX,overcast clouds,75,19.93,-105.25,77.77,0.0,0.0,1.83
127,road town,7,VG,clear sky,85,18.42,-64.62,82.99,0.0,0.0,3.0
128,labuhan,66,ID,broken clouds,62,-6.88,112.21,85.55,0.0,0.0,2.77
129,chuy,100,UY,moderate rain,96,-33.7,-53.46,59.11,3.22,3.22,11.68
130,general roca,0,AR,clear sky,86,-39.03,-67.58,30.2,0.0,0.0,10.56
131,san cristobal,23,VE,few clouds,79,7.77,-72.22,63.16,0.0,0.0,2.62
132,vaini,20,TO,few clouds,88,-21.2,-175.2,71.6,0.0,0.0,4.7
133,taoudenni,0,ML,clear sky,11,22.68,-3.98,90.64,0.0,0.0,7.11
134,panalingaan,78,PH,moderate rain,73,8.78,117.42,83.7,1.59,1.59,0.72
135,orcopampa,0,PE,clear sky,62,-15.27,-72.34,38.5,0.0,0.0,3.65
136,gorontalo,99,ID,light rain,69,0.54,123.06,84.81,0.37,0.37,4.7
137,ixtapa,100,MX,light rain,95,20.7,-105.2,77.0,0.5,0.5,1.95
138,talnakh,58,RU,broken clouds,48,69.49,88.4,66.2,0.0,0.0,6.71
139,kastrakion,40,GR,scattered clouds,64,39.72,21.62,68.0,0.0,0.0,2.68
