City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Mlowo,-9.0,32.98,75.07,44,3,2.64,TZ,2020-06-23 07:36:56
71,Doha,25.29,51.53,104.0,26,0,12.75,QA,2020-06-23 07:34:50
72,Springdale,36.19,-94.13,73.4,78,1,8.05,US,2020-06-23 07:34:56
73,Cape Town,-33.93,18.42,59.0,93,20,9.17,ZA,2020-06-23 07:33:24
74,Dikson,73.51,80.55,46.81,75,77,18.21,RU,2020-06-23 07:34:06
75,Nikolskoye,59.7,30.79,73.99,43,0,6.71,RU,2020-06-23 07:34:28
76,Port Alfred,-33.59,26.89,66.99,41,0,1.99,ZA,2020-06-23 07:34:17
77,Tiksi,71.69,128.87,54.99,58,0,5.1,RU,2020-06-23 07:34:35
78,Saskylakh,71.92,114.08,83.89,30,97,7.67,RU,2020-06-23 07:34:31
79,Watrous,51.67,-105.47,55.18,69,85,3.85,CA,2020-06-23 07:36:57
80,Makokou,0.57,12.86,77.25,76,19,3.18,GA,2020-06-23 07:36:58
81,Thompson,55.74,-97.86,57.2,93,75,2.24,CA,2020-06-23 07:31:05
82,Kichera,55.94,110.1,71.37,41,55,5.21,RU,2020-06-23 07:36:58
83,Nantucket,41.28,-70.1,60.8,93,90,5.44,US,2020-06-23 07:36:58
84,Saint George,37.1,-113.58,84.2,16,1,3.36,US,2020-06-23 07:34:09
85,Eirunepe,-6.66,-69.87,70.77,97,1,1.21,BR,2020-06-23 07:35:14
86,Jilib,0.49,42.79,88.07,54,33,12.33,SO,2020-06-23 07:36:59
87,Chester,40.13,-75.87,68.0,100,1,2.51,US,2020-06-23 07:36:59
88,Tual,-5.67,132.75,80.53,83,14,20.67,ID,2020-06-23 07:36:59
89,Yellowknife,62.46,-114.35,63.0,58,75,13.87,CA,2020-06-23 07:30:02
90,Quatre Cocos,-20.21,57.76,77.0,61,40,11.41,MU,2020-06-23 07:34:04
91,Bonavista,48.65,-53.11,56.25,92,29,17.38,CA,2020-06-23 07:34:37
92,Talnakh,69.49,88.4,62.6,45,72,17.9,RU,2020-06-23 07:34:15
93,Cherskiy,68.75,161.3,46.02,56,16,18.41,RU,2020-06-23 07:34:54
94,Upernavik,72.79,-56.15,37.31,79,87,10.18,GL,2020-06-23 07:35:10
95,Chokurdakh,70.63,147.92,72.59,30,51,11.18,RU,2020-06-23 07:34:45
96,Chuy,-33.7,-53.46,61.95,95,100,8.59,UY,2020-06-23 07:34:01
